FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
220107;1300;31;;
220107;1400;27;;
220107;1500;27;;
220107;1600;27;;
220107;1700;14;;
220107;1800;21;;
220107;1900;14;;
220107;2000;21;;
220107;2100;14;;
220107;2200;14;;
220107;2300;17;;
220108;0000;18;;
220108;0100;13;;
220108;0200;14;;
220108;0300;12;;
220108;0400;13;;
220108;0500;8;;
220108;0600;11;;
220108;0700;24;;
220108;0800;31;;
220108;0900;32;;
220108;1000;24;;
220108;1100;24;;
220108;1200;15;;
220108;1300;22;;
220108;1400;19;;
220108;1500;17;;
220108;1600;12;;
220108;1700;12;;
220108;1800;15;;
220108;1900;14;;
220108;2000;14;;
220108;2100;12;;
220108;2200;12;;
220108;2300;7;;
220109;0000;6;;
220109;0100;7;;
220109;0200;8;;
220109;0300;10;;
220109;0400;6;;
220109;0500;10;;
220109;0600;8;;
220109;0700;9;;
220109;0800;12;;
220109;0900;17;;
220109;1000;25;;
220109;1100;27;;
220109;1200;24;;
220109;1300;23;;
220109;1400;26;;
220109;1500;22;;
220109;1600;22;;
220109;1700;20;;
220109;1800;15;;
220109;1900;16;;
220109;2000;12;;
220109;2100;9;;
220109;2200;5;;
220109;2300;10;;
220110;0000;9;;
220110;0100;8;;
220110;0200;9;;
220110;0300;9;;
220110;0400;11;;
220110;0500;8;;
220110;0600;9;;
220110;0700;12;;
220110;0800;20;;
220110;0900;19;;
220110;1000;22;;
220110;1100;18;;
220110;1200;15;;
220110;1300;14;;
220110;1400;23;;
220110;1500;12;;
220110;1600;15;;
220110;1700;12;;
220110;1800;17;;
220110;1900;9;;
220110;2000;7;;
220110;2100;9;;
220110;2200;7;;
220110;2300;6;;
220111;0000;4;;
220111;0100;5;;
220111;0200;7;;
220111;0300;6;;
220111;0400;2;;
220111;0500;1;;
220111;0600;4;;
220111;0700;7;;
220111;0800;18;;
220111;0900;13;;
220111;1000;19;;
220111;1100;17;;
220111;1200;18;;
220111;1300;25;;
220111;1400;20;;
220111;1500;14;;
220111;1600;18;;
220111;1700;19;;
220111;1800;14;;
220111;1900;15;;
220111;2000;8;;
220111;2100;9;;
220111;2200;6;;
220111;2300;11;;
220112;0000;8;;
220112;0100;8;;
220112;0200;9;;
220112;0300;7;;
220112;0400;7;;
220112;0500;6;;
220112;0600;7;;
220112;0700;14;;
220112;0800;22;;
220112;0900;24;;
220112;1000;28;;
220112;1100;29;;
220112;1200;26;;
220112;1300;25;;
220112;1400;26;;
220112;1500;;;
220112;1600;26;;
220112;1700;17;;
220112;1800;13;;
220112;1900;13;;
220112;2000;13;;
220112;2100;9;;
220112;2200;8;;
220112;2300;9;;
220113;0000;9;;
220113;0100;5;;
220113;0200;6;;
220113;0300;9;;
220113;0400;10;;
220113;0500;12;;
220113;0600;9;;
220113;0700;14;;
220113;0800;19;;
220113;0900;17;;
220113;1000;16;;
220113;1100;22;;
220113;1200;25;;
220113;1300;22;;
220113;1400;27;;
220113;1500;19;;
220113;1600;12;;
220113;1700;12;;
220113;1800;14;;
220113;1900;9;;
220113;2000;9;;
220113;2100;7;;
220113;2200;6;;
220113;2300;7;;
220114;0000;8;;
220114;0100;8;;
220114;0200;10;;
220114;0300;10;;
220114;0400;8;;
220114;0500;6;;
220114;0600;7;;
220114;0700;10;;
220114;0800;22;;
220114;0900;26;;
220114;1000;35;;
220114;1100;30;;
220114;1200;33;;
220114;1300;39;;
220114;1400;38;;
220114;1500;40;;
220114;1600;40;;
220114;1700;35;;
220114;1800;28;;
220114;1900;13;;
220114;2000;11;;
220114;2100;12;;
220114;2200;16;;
220114;2300;7;;
220115;0000;5;;
220115;0100;4;;
220115;0200;8;;
220115;0300;5;;
220115;0400;8;;
220115;0500;7;;
220115;0600;6;;
220115;0700;12;;
220115;0800;17;;
220115;0900;23;;
220115;1000;21;;
220115;1100;17;;
220115;1200;14;;
220115;1300;21;;
220115;1400;28;;
220115;1500;22;;
220115;1600;22;;
220115;1700;18;;
220115;1800;12;;
220115;1900;15;;
220115;2000;7;;
220115;2100;9;;
220115;2200;10;;
220115;2300;7;;
220116;0000;7;;
220116;0100;6;;
220116;0200;10;;
220116;0300;7;;
220116;0400;7;;
220116;0500;9;;
220116;0600;7;;
220116;0700;13;;
220116;0800;15;;
220116;0900;11;;
220116;1000;13;;
220116;1100;16;;
220116;1200;19;;
220116;1300;20;;
220116;1400;18;;
220116;1500;9;;
220116;1600;6;;
220116;1700;9;;
220116;1800;9;;
220116;1900;6;;
220116;2000;4;;
220116;2100;8;;
220116;2200;5;;
220116;2300;1;;
220117;0000;1;;
220117;0100;4;;
220117;0200;2;;
220117;0300;2;;
220117;0400;4;;
220117;0500;3;;
220117;0600;5;;
220117;0700;5;;
220117;0800;8;;
220117;0900;9;;
220117;1000;7;;
220117;1100;12;;
220117;1200;12;;
220117;1300;12;;
220117;1400;15;;
220117;1500;16;;
220117;1600;;;
220117;1700;13;;
220117;1800;17;;
220117;1900;10;;
220117;2000;9;;
220117;2100;7;;
220117;2200;6;;
220117;2300;5;;
220118;0000;4;;
220118;0100;5;;
220118;0200;3;;
220118;0300;1;;
220118;0400;3;;
220118;0500;4;;
220118;0600;11;;
220118;0700;10;;
220118;0800;8;;
220118;0900;7;;
220118;1000;8;;
220118;1100;14;;
220118;1200;13;;
220118;1300;16;;
220118;1400;14;;
220118;1500;17;;
220118;1600;17;;
220118;1700;19;;
220118;1800;13;;
220118;1900;18;;
220118;2000;6;;
220118;2100;7;;
220118;2200;6;;
220118;2300;6;;
220119;0000;10;;
220119;0100;6;;
220119;0200;6;;
220119;0300;4;;
220119;0400;7;;
220119;0500;7;;
220119;0600;9;;
220119;0700;21;;
220119;0800;24;;
220119;0900;22;;
220119;1000;23;;
220119;1100;25;;
220119;1200;23;;
220119;1300;24;;
220119;1400;19;;
220119;1500;19;;
220119;1600;18;;
220119;1700;19;;
220119;1800;20;;
220119;1900;25;;
220119;2000;10;;
220119;2100;11;;
220119;2200;14;;
220119;2300;9;;
220120;0000;11;;
220120;0100;9;;
220120;0200;9;;
220120;0300;7;;
220120;0400;8;;
220120;0500;6;;
220120;0600;10;;
220120;0700;13;;
220120;0800;14;;
220120;0900;16;;
220120;1000;20;;
220120;1100;18;;
220120;1200;27;;
220120;1300;28;;
220120;1400;20;;
220120;1500;10;;
220120;1600;12;;
220120;1700;11;;
220120;1800;9;;
220120;1900;11;;
220120;2000;9;;
220120;2100;6;;
220120;2200;10;;
220120;2300;7;;
220121;0000;5;;
220121;0100;7;;
220121;0200;6;;
220121;0300;8;;
220121;0400;7;;
220121;0500;4;;
220121;0600;6;;
220121;0700;7;;
220121;0800;12;;
220121;0900;8;;
220121;1000;8;;
220121;1100;19;;
220121;1200;20;;
220121;1300;11;;
220121;1400;18;;
220121;1500;10;;
220121;1600;8;;
220121;1700;12;;
220121;1800;7;;
220121;1900;7;;
220121;2000;6;;
220121;2100;16;;
220121;2200;11;;
220121;2300;10;;
220122;0000;8;;
220122;0100;7;;
220122;0200;5;;
220122;0300;4;;
220122;0400;2;;
220122;0500;7;;
220122;0600;7;;
220122;0700;12;;
220122;0800;11;;
220122;0900;11;;
220122;1000;13;;
220122;1100;11;;
220122;1200;15;;
220122;1300;13;;
220122;1400;14;;
220122;1500;11;;
220122;1600;9;;
220122;1700;8;;
220122;1800;8;;
220122;1900;5;;
220122;2000;6;;
220122;2100;6;;
220122;2200;7;;
220122;2300;9;;
220123;0000;7;;
220123;0100;6;;
220123;0200;6;;
220123;0300;5;;
220123;0400;6;;
220123;0500;6;;
220123;0600;5;;
220123;0700;28;;
220123;0800;38;;
220123;0900;31;;
220123;1000;21;;
220123;1100;16;;
220123;1200;28;;
220123;1300;30;;
220123;1400;17;;
220123;1500;11;;
220123;1600;7;;
220123;1700;7;;
220123;1800;8;;
220123;1900;6;;
220123;2000;17;;
220123;2100;8;;
220123;2200;9;;
220123;2300;8;;
220124;0000;14;;
220124;0100;9;;
220124;0200;6;;
220124;0300;3;;
220124;0400;8;;
220124;0500;10;;
220124;0600;8;;
220124;0700;21;;
220124;0800;25;;
220124;0900;28;;
220124;1000;24;;
220124;1100;22;;
220124;1200;23;;
220124;1300;28;;
220124;1400;22;;
220124;1500;24;;
220124;1600;28;;
220124;1700;23;;
220124;1800;32;;
220124;1900;30;;
220124;2000;17;;
220124;2100;10;;
220124;2200;7;;
220124;2300;7;;
220125;0000;5;;
220125;0100;9;;
220125;0200;8;;
220125;0300;7;;
220125;0400;6;;
220125;0500;7;;
220125;0600;10;;
220125;0700;21;;
220125;0800;25;;
220125;0900;26;;
220125;1000;26;;
220125;1100;21;;
220125;1200;24;;
220125;1300;26;;
220125;1400;23;;
220125;1500;25;;
220125;1600;16;;
220125;1700;20;;
220125;1800;11;;
220125;1900;11;;
220125;2000;13;;
220125;2100;10;;
220125;2200;7;;
220125;2300;9;;
220126;0000;9;;
220126;0100;10;;
220126;0200;8;;
220126;0300;10;;
220126;0400;9;;
220126;0500;13;;
220126;0600;17;;
220126;0700;11;;
220126;0800;16;;
220126;0900;27;;
220126;1000;21;;
220126;1100;23;;
220126;1200;20;;
220126;1300;24;;
220126;1400;15;;
220126;1500;13;;
220126;1600;12;;
220126;1700;16;;
220126;1800;14;;
220126;1900;17;;
220126;2000;14;;
220126;2100;8;;
220126;2200;9;;
220126;2300;10;;
220127;0000;7;;
220127;0100;10;;
220127;0200;8;;
220127;0300;6;;
220127;0400;8;;
220127;0500;12;;
220127;0600;12;;
220127;0700;14;;
220127;0800;15;;
220127;0900;22;;
220127;1000;19;;
220127;1100;28;;
220127;1200;24;;
220127;1300;20;;
220127;1400;19;;
220127;1500;19;;
220127;1600;19;;
220127;1700;12;;
220127;1800;14;;
220127;1900;9;;
220127;2000;7;;
220127;2100;13;;
220127;2200;9;;
220127;2300;10;;
220128;0000;11;;
220128;0100;10;;
220128;0200;9;;
220128;0300;7;;
220128;0400;10;;
220128;0500;9;;
220128;0600;8;;
220128;0700;13;;
220128;0800;19;;
220128;0900;18;;
220128;1000;23;;
220128;1100;31;;
220128;1200;29;;
220128;1300;22;;
220128;1400;19;;
220128;1500;25;;
220128;1600;12;;
220128;1700;13;;
220128;1800;17;;
220128;1900;12;;
220128;2000;13;;
220128;2100;10;;
220128;2200;12;;
220128;2300;11;;
220129;0000;11;;
220129;0100;13;;
220129;0200;11;;
220129;0300;12;;
220129;0400;12;;
220129;0500;12;;
220129;0600;8;;
220129;0700;11;;
220129;0800;14;;
220129;0900;18;;
220129;1000;20;;
220129;1100;26;;
220129;1200;18;;
220129;1300;24;;
220129;1400;14;;
220129;1500;14;;
220129;1600;10;;
220129;1700;13;;
220129;1800;12;;
220129;1900;10;;
220129;2000;11;;
220129;2100;10;;
220129;2200;11;;
220129;2300;9;;
220130;0000;10;;
220130;0100;7;;
220130;0200;11;;
220130;0300;9;;
220130;0400;8;;
220130;0500;6;;
220130;0600;10;;
220130;0700;14;;
220130;0800;16;;
220130;0900;15;;
220130;1000;22;;
220130;1100;23;;
220130;1200;23;;
220130;1300;24;;
220130;1400;17;;
220130;1500;11;;
220130;1600;15;;
220130;1700;14;;
220130;1800;15;;
220130;1900;8;;
220130;2000;13;;
220130;2100;9;;
220130;2200;10;;
220130;2300;9;;
220131;0000;13;;
220131;0100;12;;
220131;0200;9;;
220131;0300;11;;
220131;0400;12;;
220131;0500;15;;
220131;0600;13;;
220131;0700;16;;
220131;0800;20;;
220131;0900;16;;
220131;1000;12;;
220131;1100;12;;
220131;1200;14;;
220131;1300;19;;
220131;1400;10;;
220131;1500;14;;
220131;1600;9;;
220131;1700;12;;
220131;1800;16;;
220131;1900;16;;
220131;2000;13;;
220131;2100;13;;
220131;2200;12;;
220131;2300;9;;
220201;0000;9;;
220201;0100;13;;
220201;0200;11;;
220201;0300;13;;
220201;0400;12;;
220201;0500;16;;
220201;0600;12;;
220201;0700;14;;
220201;0800;15;;
220201;0900;13;;
220201;1000;14;;
220201;1100;19;;
220201;1200;22;;
220201;1300;19;;
220201;1400;15;;
220201;1500;16;;
220201;1600;20;;
220201;1700;16;;
220201;1800;15;;
220201;1900;8;;
220201;2000;11;;
220201;2100;8;;
220201;2200;8;;
220201;2300;6;;
220202;0000;6;;
220202;0100;9;;
220202;0200;6;;
220202;0300;12;;
220202;0400;10;;
220202;0500;9;;
220202;0600;8;;
220202;0700;12;;
220202;0800;10;;
220202;0900;17;;
220202;1000;21;;
220202;1100;22;;
220202;1200;20;;
220202;1300;17;;
220202;1400;16;;
220202;1500;15;;
220202;1600;13;;
220202;1700;9;;
220202;1800;11;;
220202;1900;15;;
220202;2000;9;;
220202;2100;10;;
220202;2200;8;;
220202;2300;16;;
220203;0000;10;;
220203;0100;11;;
220203;0200;10;;
220203;0300;5;;
220203;0400;8;;
220203;0500;7;;
220203;0600;9;;
220203;0700;15;;
220203;0800;14;;
220203;0900;12;;
220203;1000;18;;
220203;1100;17;;
220203;1200;22;;
220203;1300;18;;
220203;1400;10;;
220203;1500;16;;
220203;1600;6;;
220203;1700;6;;
220203;1800;9;;
220203;1900;6;;
220203;2000;7;;
220203;2100;6;;
220203;2200;4;;
220203;2300;4;;
220204;0000;10;;
220204;0100;8;;
220204;0200;4;;
220204;0300;3;;
220204;0400;2;;
220204;0500;7;;
220204;0600;7;;
220204;0700;9;;
220204;0800;19;;
220204;0900;15;;
220204;1000;14;;
220204;1100;15;;
220204;1200;15;;
220204;1300;12;;
220204;1400;13;;
220204;1500;16;;
220204;1600;5;;
220204;1700;14;;
220204;1800;9;;
220204;1900;5;;
220204;2000;12;;
220204;2100;8;;
220204;2200;6;;
220204;2300;5;;
220205;0000;10;;
220205;0100;10;;
220205;0200;9;;
220205;0300;8;;
220205;0400;7;;
220205;0500;8;;
220205;0600;8;;
220205;0700;11;;
220205;0800;23;;
220205;0900;12;;
220205;1000;11;;
220205;1100;9;;
220205;1200;13;;
220205;1300;10;;
220205;1400;7;;
220205;1500;8;;
220205;1600;9;;
220205;1700;10;;
220205;1800;9;;
220205;1900;10;;
220205;2000;7;;
220205;2100;7;;
220205;2200;8;;
220205;2300;8;;
220206;0000;8;;
220206;0100;5;;
220206;0200;6;;
220206;0300;8;;
220206;0400;8;;
220206;0500;7;;
220206;0600;7;;
220206;0700;16;;
220206;0800;25;;
220206;0900;10;;
220206;1000;10;;
220206;1100;13;;
220206;1200;14;;
220206;1300;14;;
220206;1400;10;;
220206;1500;9;;
220206;1600;13;;
220206;1700;9;;
220206;1800;13;;
220206;1900;13;;
220206;2000;11;;
220206;2100;14;;
220206;2200;9;;
220206;2300;8;;
220207;0000;9;;
220207;0100;9;;
220207;0200;6;;
220207;0300;5;;
220207;0400;7;;
220207;0500;13;;
220207;0600;11;;
220207;0700;13;;
220207;0800;11;;
220207;0900;14;;
220207;1000;11;;
220207;1100;13;;
220207;1200;17;;
220207;1300;13;;
220207;1400;12;;
220207;1500;16;;
220207;1600;16;;
220207;1700;14;;
220207;1800;10;;
220207;1900;11;;
220207;2000;8;;
220207;2100;6;;
220207;2200;9;;
220207;2300;8;;
220208;0000;7;;
220208;0100;11;;
220208;0200;9;;
220208;0300;9;;
220208;0400;12;;
220208;0500;7;;
220208;0600;4;;
220208;0700;15;;
220208;0800;17;;
220208;0900;17;;
220208;1000;17;;
220208;1100;16;;
220208;1200;18;;
220208;1300;12;;
220208;1400;12;;
220208;1500;15;;
220208;1600;13;;
220208;1700;9;;
220208;1800;13;;
220208;1900;12;;
220208;2000;11;;
220208;2100;8;;
220208;2200;8;;
220208;2300;16;;
220209;0000;14;;
220209;0100;12;;
220209;0200;7;;
220209;0300;10;;
220209;0400;10;;
220209;0500;10;;
220209;0600;12;;
220209;0700;19;;
220209;0800;13;;
220209;0900;25;;
220209;1000;21;;
220209;1100;26;;
220209;1200;12;;
220209;1300;14;;
220209;1400;17;;
220209;1500;17;;
220209;1600;14;;
220209;1700;11;;
220209;1800;16;;
220209;1900;15;;
220209;2000;16;;
220209;2100;14;;
220209;2200;24;;
220209;2300;22;;
220210;0000;19;;
220210;0100;21;;
220210;0200;23;;
220210;0300;18;;
220210;0400;19;;
220210;0500;18;;
220210;0600;17;;
220210;0700;18;;
220210;0800;29;;
220210;0900;34;;
220210;1000;28;;
220210;1100;34;;
220210;1200;36;;
220210;1300;28;;
220210;1400;30;;
220210;1500;30;;
220210;1600;19;;
220210;1700;16;;
220210;1800;15;;
220210;1900;15;;
220210;2000;13;;
220210;2100;10;;
220210;2200;9;;
220210;2300;13;;
220211;0000;12;;
220211;0100;12;;
220211;0200;14;;
220211;0300;9;;
220211;0400;8;;
220211;0500;7;;
220211;0600;13;;
220211;0700;12;;
220211;0800;13;;
220211;0900;16;;
220211;1000;25;;
220211;1100;25;;
220211;1200;25;;
220211;1300;34;;
220211;1400;34;;
220211;1500;27;;
220211;1600;27;;
220211;1700;18;;
220211;1800;15;;
220211;1900;24;;
220211;2000;24;;
220211;2100;23;;
220211;2200;20;;
220211;2300;20;;
220212;0000;22;;
220212;0100;18;;
220212;0200;20;;
220212;0300;16;;
220212;0400;15;;
220212;0500;14;;
220212;0600;12;;
220212;0700;18;;
220212;0800;13;;
220212;0900;13;;
220212;1000;20;;
220212;1100;17;;
220212;1200;26;;
220212;1300;17;;
220212;1400;;;
220212;1500;;;
220212;1600;;;
220212;1700;;;
220212;1800;;;
220212;1900;;;
220212;2000;;;
220212;2100;;;
220212;2200;;;
220212;2300;;;
220213;0000;;;
220213;0100;;;
220213;0200;;;
220213;0300;;;
220213;0400;;;
220213;0500;;;
220213;0600;;;
220213;0700;;;
220213;0800;;;
220213;0900;;;
220213;1000;;;
220213;1100;;;
220213;1200;;;
220213;1300;;;
220213;1400;;;
220213;1500;;;
220213;1600;;;
220213;1700;;;
220213;1800;;;
220213;1900;;;
220213;2000;;;
220213;2100;;;
220213;2200;;;
220213;2300;;;
220214;0000;;;
220214;0100;;;
220214;0200;;;
220214;0300;;;
220214;0400;;;
220214;0500;;;
220214;0600;;;
220214;0700;;;
220214;0800;;;
220214;0900;;;
220214;1000;22;;
220214;1100;21;;
220214;1200;22;;
220214;1300;20;;
220214;1400;27;;
220214;1500;18;;
220214;1600;17;;
220214;1700;18;;
220214;1800;12;;
220214;1900;16;;
220214;2000;16;;
220214;2100;20;;
220214;2200;19;;
220214;2300;15;;
220215;0000;15;;
220215;0100;13;;
220215;0200;16;;
220215;0300;15;;
220215;0400;14;;
220215;0500;17;;
220215;0600;16;;
220215;0700;19;;
220215;0800;22;;
220215;0900;28;;
220215;1000;28;;
220215;1100;29;;
220215;1200;34;;
220215;1300;27;;
220215;1400;26;;
220215;1500;17;;
220215;1600;18;;
220215;1700;14;;
220215;1800;16;;
220215;1900;8;;
220215;2000;12;;
220215;2100;11;;
220215;2200;13;;
220215;2300;15;;
220216;0000;9;;
220216;0100;9;;
220216;0200;15;;
220216;0300;12;;
220216;0400;12;;
220216;0500;15;;
220216;0600;13;;
220216;0700;18;;
220216;0800;15;;
220216;0900;23;;
220216;1000;17;;
220216;1100;25;;
220216;1200;30;;
220216;1300;25;;
220216;1400;22;;
220216;1500;16;;
220216;1600;11;;
220216;1700;9;;
220216;1800;10;;
220216;1900;11;;
220216;2000;12;;
220216;2100;12;;
220216;2200;16;;
220216;2300;9;;
220217;0000;7;;
220217;0100;8;;
220217;0200;14;;
220217;0300;7;;
220217;0400;5;;
220217;0500;7;;
220217;0600;12;;
220217;0700;15;;
220217;0800;8;;
220217;0900;10;;
220217;1000;12;;
220217;1100;15;;
220217;1200;20;;
220217;1300;18;;
220217;1400;22;;
220217;1500;11;;
220217;1600;10;;
220217;1700;9;;
220217;1800;14;;
220217;1900;13;;
220217;2000;26;;
220217;2100;22;;
220217;2200;13;;
220217;2300;12;;
220218;0000;17;;
220218;0100;11;;
220218;0200;8;;
220218;0300;13;;
220218;0400;11;;
220218;0500;10;;
220218;0600;16;;
220218;0700;21;;
220218;0800;15;;
220218;0900;16;;
220218;1000;15;;
220218;1100;25;;
220218;1200;22;;
220218;1300;25;;
220218;1400;16;;
220218;1500;13;;
220218;1600;20;;
220218;1700;16;;
220218;1800;18;;
220218;1900;19;;
220218;2000;23;;
220218;2100;22;;
220218;2200;24;;
220218;2300;26;;
220219;0000;24;;
220219;0100;22;;
220219;0200;16;;
220219;0300;13;;
220219;0400;13;;
220219;0500;10;;
220219;0600;11;;
220219;0700;10;;
220219;0800;29;;
220219;0900;30;;
220219;1000;21;;
220219;1100;34;;
220219;1200;18;;
220219;1300;20;;
220219;1400;24;;
220219;1500;11;;
220219;1600;9;;
220219;1700;8;;
220219;1800;20;;
220219;1900;11;;
220219;2000;14;;
220219;2100;19;;
220219;2200;17;;
220219;2300;19;;
220220;0000;23;;
220220;0100;13;;
220220;0200;12;;
220220;0300;11;;
220220;0400;14;;
220220;0500;13;;
220220;0600;13;;
220220;0700;16;;
220220;0800;15;;
220220;0900;16;;
220220;1000;21;;
220220;1100;16;;
220220;1200;34;;
220220;1300;15;;
220220;1400;14;;
220220;1500;13;;
220220;1600;9;;
220220;1700;8;;
220220;1800;9;;
220220;1900;10;;
220220;2000;6;;
220220;2100;5;;
220220;2200;5;;
220220;2300;4;;
220221;0000;6;;
220221;0100;4;;
220221;0200;7;;
220221;0300;5;;
220221;0400;4;;
220221;0500;6;;
220221;0600;8;;
220221;0700;15;;
220221;0800;14;;
220221;0900;14;;
220221;1000;16;;
220221;1100;11;;
220221;1200;17;;
220221;1300;16;;
220221;1400;13;;
220221;1500;10;;
220221;1600;9;;
220221;1700;7;;
220221;1800;7;;
220221;1900;7;;
220221;2000;5;;
220221;2100;2;;
220221;2200;4;;
220221;2300;6;;
220222;0000;4;;
220222;0100;12;;
220222;0200;7;;
220222;0300;3;;
220222;0400;1;;
220222;0500;4;;
220222;0600;6;;
220222;0700;8;;
220222;0800;12;;
220222;0900;10;;
220222;1000;9;;
220222;1100;8;;
220222;1200;15;;
220222;1300;11;;
220222;1400;12;;
220222;1500;9;;
220222;1600;8;;
220222;1700;6;;
220222;1800;6;;
220222;1900;10;;
220222;2000;10;;
220222;2100;8;;
220222;2200;6;;
220222;2300;9;;
220223;0000;7;;
220223;0100;6;;
220223;0200;7;;
220223;0300;5;;
220223;0400;4;;
220223;0500;5;;
220223;0600;1;;
220223;0700;1;;
220223;0800;6;;
220223;0900;7;;
220223;1000;10;;
220223;1100;8;;
220223;1200;7;;
220223;1300;3;;
220223;1400;2;;
220223;1500;3;;
220223;1600;8;;
220223;1700;6;;
220223;1800;4;;
220223;1900;5;;
220223;2000;3;;
220223;2100;1;;
220223;2200;3;;
220223;2300;6;;
220224;0000;5;;
220224;0100;2;;
220224;0200;2;;
220224;0300;2;;
220224;0400;1;;
220224;0500;2;;
220224;0600;2;;
220224;0700;4;;
220224;0800;11;;
220224;0900;9;;
220224;1000;12;;
220224;1100;12;;
220224;1200;17;;
220224;1300;14;;
220224;1400;15;;
220224;1500;15;;
220224;1600;6;;
220224;1700;6;;
220224;1800;6;;
220224;1900;4;;
220224;2000;8;;
220224;2100;7;;
220224;2200;11;;
220224;2300;7;;
220225;0000;3;;
220225;0100;5;;
220225;0200;10;;
220225;0300;8;;
220225;0400;5;;
220225;0500;4;;
220225;0600;6;;
220225;0700;10;;
220225;0800;6;;
220225;0900;7;;
220225;1000;7;;
220225;1100;10;;
220225;1200;9;;
220225;1300;16;;
220225;1400;12;;
220225;1500;11;;
220225;1600;10;;
220225;1700;10;;
220225;1800;11;;
220225;1900;10;;
220225;2000;12;;
220225;2100;13;;
220225;2200;12;;
220225;2300;9;;
220226;0000;16;;
220226;0100;15;;
220226;0200;9;;
220226;0300;9;;
220226;0400;11;;
220226;0500;12;;
220226;0600;13;;
220226;0700;13;;
220226;0800;12;;
220226;0900;8;;
220226;1000;14;;
220226;1100;13;;
220226;1200;12;;
220226;1300;14;;
220226;1400;20;;
220226;1500;13;;
220226;1600;11;;
220226;1700;9;;
220226;1800;5;;
220226;1900;5;;
220226;2000;6;;
220226;2100;6;;
220226;2200;5;;
220226;2300;4;;
220227;0000;14;;
220227;0100;8;;
220227;0200;3;;
220227;0300;1;;
220227;0400;5;;
220227;0500;5;;
220227;0600;3;;
220227;0700;6;;
220227;0800;8;;
220227;0900;5;;
220227;1000;6;;
220227;1100;6;;
220227;1200;7;;
220227;1300;10;;
220227;1400;9;;
220227;1500;12;;
220227;1600;7;;
220227;1700;5;;
220227;1800;7;;
220227;1900;6;;
220227;2000;4;;
220227;2100;3;;
220227;2200;7;;
220227;2300;6;;
220228;0000;4;;
220228;0100;4;;
220228;0200;4;;
220228;0300;2;;
220228;0400;4;;
