FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220118;0100;4;;;
220118;0200;4;;;
220118;0300;6;;;
220118;0400;6;;;
220118;0500;8;;;
220118;0600;13;;;
220118;0700;11;;;
220118;0800;11;;;
220118;0900;11;;;
220118;1000;12;;;
220118;1100;15;;;
220118;1200;10;;;
220118;1300;10;;;
220118;1400;8;;;
220118;1500;8;;;
220118;1600;10;;;
220118;1700;16;;;
220118;1800;13;;;
220118;1900;13;;;
220118;2000;9;;;
220118;2100;9;;;
220118;2200;8;;;
220118;2300;5;;;
220119;0000;4;;;
220119;0100;6;;;
220119;0200;7;;;
220119;0300;5;;;
220119;0400;8;;;
220119;0500;12;;;
220119;0600;14;;;
220119;0700;14;;;
220119;0800;13;;;
220119;0900;10;;;
220119;1000;10;;;
220119;1100;12;;;
220119;1200;10;;;
220119;1300;11;;;
220119;1400;;;;
220119;1500;;;;
220119;1600;15;;;
220119;1700;11;;;
220119;1800;11;;;
220119;1900;9;;;
220119;2000;8;;;
220119;2100;10;;;
220119;2200;8;;;
220119;2300;6;;;
220120;0000;6;;;
220120;0100;11;;;
220120;0200;9;;;
220120;0300;6;;;
220120;0400;10;;;
220120;0500;11;;;
220120;0600;20;;;
220120;0700;10;;;
220120;0800;11;;;
220120;0900;11;;;
220120;1000;10;;;
220120;1100;14;;;
220120;1200;10;;;
220120;1300;10;;;
220120;1400;11;;;
220120;1500;10;;;
220120;1600;6;;;
220120;1700;6;;;
220120;1800;6;;;
220120;1900;8;;;
220120;2000;11;;;
220120;2100;8;;;
220120;2200;6;;;
220120;2300;7;;;
220121;0000;5;;;
220121;0100;3;;;
220121;0200;3;;;
220121;0300;4;;;
220121;0400;6;;;
220121;0500;9;;;
220121;0600;21;;;
220121;0700;14;;;
220121;0800;11;;;
220121;0900;16;;;
220121;1000;10;;;
220121;1100;11;;;
220121;1200;12;;;
220121;1300;11;;;
220121;1400;9;;;
220121;1500;8;;;
220121;1600;9;;;
220121;1700;9;;;
220121;1800;8;;;
220121;1900;7;;;
220121;2000;10;;;
220121;2100;9;;;
220121;2200;7;;;
220121;2300;5;;;
220122;0000;3;;;
220122;0100;2;;;
220122;0200;2;;;
220122;0300;7;;;
220122;0400;13;;;
220122;0500;10;;;
220122;0600;13;;;
220122;0700;11;;;
220122;0800;6;;;
220122;0900;4;;;
220122;1000;5;;;
220122;1100;6;;;
220122;1200;7;;;
220122;1300;6;;;
220122;1400;2;;;
220122;1500;3;;;
220122;1600;5;;;
220122;1700;3;;;
220122;1800;5;;;
220122;1900;9;;;
220122;2000;9;;;
220122;2100;10;;;
220122;2200;8;;;
220122;2300;7;;;
220123;0000;9;;;
220123;0100;11;;;
220123;0200;9;;;
220123;0300;8;;;
220123;0400;8;;;
220123;0500;9;;;
220123;0600;8;;;
220123;0700;10;;;
220123;0800;16;;;
220123;0900;12;;;
220123;1000;9;;;
220123;1100;9;;;
220123;1200;8;;;
220123;1300;6;;;
220123;1400;4;;;
220123;1500;8;;;
220123;1600;6;;;
220123;1700;6;;;
220123;1800;8;;;
220123;1900;10;;;
220123;2000;10;;;
220123;2100;11;;;
220123;2200;12;;;
220123;2300;12;;;
220124;0000;12;;;
220124;0100;13;;;
220124;0200;12;;;
220124;0300;12;;;
220124;0400;10;;;
220124;0500;9;;;
220124;0600;28;;;
220124;0700;13;;;
220124;0800;15;;;
220124;0900;13;;;
220124;1000;16;;;
220124;1100;11;;;
220124;1200;21;;;
220124;1300;9;;;
220124;1400;11;;;
220124;1500;13;;;
220124;1600;13;;;
220124;1700;11;;;
220124;1800;9;;;
220124;1900;9;;;
220124;2000;12;;;
220124;2100;9;;;
220124;2200;6;;;
220124;2300;7;;;
220125;0000;10;;;
220125;0100;7;;;
220125;0200;7;;;
220125;0300;9;;;
220125;0400;8;;;
220125;0500;6;;;
220125;0600;8;;;
220125;0700;9;;;
220125;0800;11;;;
220125;0900;10;;;
220125;1000;9;;;
220125;1100;9;;;
220125;1200;10;;;
220125;1300;10;;;
220125;1400;8;;;
220125;1500;10;;;
220125;1600;9;;;
220125;1700;12;;;
220125;1800;11;;;
220125;1900;14;;;
220125;2000;9;;;
220125;2100;12;;;
220125;2200;10;;;
220125;2300;8;;;
220126;0000;8;;;
220126;0100;11;;;
220126;0200;11;;;
220126;0300;10;;;
220126;0400;6;;;
220126;0500;5;;;
220126;0600;10;;;
220126;0700;12;;;
220126;0800;11;;;
220126;0900;15;;;
220126;1000;19;;;
220126;1100;19;;;
220126;1200;17;;;
220126;1300;18;;;
220126;1400;17;;;
220126;1500;10;;;
220126;1600;16;;;
220126;1700;12;;;
220126;1800;11;;;
220126;1900;9;;;
220126;2000;9;;;
220126;2100;9;;;
220126;2200;9;;;
220126;2300;9;;;
220127;0000;10;;;
220127;0100;9;;;
220127;0200;8;;;
220127;0300;7;;;
220127;0400;10;;;
220127;0500;10;;;
220127;0600;8;;;
220127;0700;13;;;
220127;0800;17;;;
220127;0900;12;;;
220127;1000;15;;;
220127;1100;14;;;
220127;1200;14;;;
220127;1300;13;;;
220127;1400;16;;;
220127;1500;10;;;
220127;1600;11;;;
220127;1700;11;;;
220127;1800;12;;;
220127;1900;9;;;
220127;2000;8;;;
220127;2100;10;;;
220127;2200;15;;;
220127;2300;13;;;
220128;0000;10;;;
220128;0100;10;;;
220128;0200;12;;;
220128;0300;10;;;
220128;0400;8;;;
220128;0500;10;;;
220128;0600;13;;;
220128;0700;14;;;
220128;0800;14;;;
220128;0900;25;;;
220128;1000;20;;;
220128;1100;20;;;
220128;1200;17;;;
220128;1300;18;;;
220128;1400;13;;;
220128;1500;12;;;
220128;1600;9;;;
220128;1700;13;;;
220128;1800;16;;;
220128;1900;49;;;
220128;2000;10;;;
220128;2100;11;;;
220128;2200;15;;;
220128;2300;11;;;
220129;0000;7;;;
220129;0100;12;;;
220129;0200;11;;;
220129;0300;9;;;
220129;0400;8;;;
220129;0500;9;;;
220129;0600;10;;;
220129;0700;13;;;
220129;0800;16;;;
220129;0900;20;;;
220129;1000;15;;;
220129;1100;16;;;
220129;1200;15;;;
220129;1300;22;;;
220129;1400;16;;;
220129;1500;12;;;
220129;1600;16;;;
220129;1700;12;;;
220129;1800;13;;;
220129;1900;14;;;
220129;2000;16;;;
220129;2100;16;;;
220129;2200;12;;;
220129;2300;9;;;
220130;0000;11;;;
220130;0100;8;;;
220130;0200;7;;;
220130;0300;9;;;
220130;0400;8;;;
220130;0500;8;;;
220130;0600;9;;;
220130;0700;9;;;
220130;0800;9;;;
220130;0900;15;;;
220130;1000;17;;;
220130;1100;22;;;
220130;1200;22;;;
220130;1300;16;;;
220130;1400;12;;;
220130;1500;11;;;
220130;1600;12;;;
220130;1700;12;;;
220130;1800;13;;;
220130;1900;15;;;
220130;2000;14;;;
220130;2100;17;;;
220130;2200;19;;;
220130;2300;14;;;
220131;0000;13;;;
220131;0100;10;;;
220131;0200;12;;;
220131;0300;10;;;
220131;0400;9;;;
220131;0500;14;;;
220131;0600;21;;;
220131;0700;19;;;
220131;0800;16;;;
220131;0900;16;;;
220131;1000;13;;;
220131;1100;13;;;
220131;1200;13;;;
220131;1300;11;;;
220131;1400;13;;;
220131;1500;13;;;
220131;1600;18;;;
220131;1700;15;;;
220131;1800;14;;;
220131;1900;13;;;
220131;2000;10;;;
220131;2100;8;;;
220131;2200;10;;;
220131;2300;8;;;
220201;0000;6;;;
220201;0100;10;;;
220201;0200;8;;;
220201;0300;6;;;
220201;0400;7;;;
220201;0500;8;;;
220201;0600;11;;;
220201;0700;23;;;
220201;0800;16;;;
220201;0900;14;;;
220201;1000;13;;;
220201;1100;10;;;
220201;1200;10;;;
220201;1300;13;;;
220201;1400;18;;;
220201;1500;22;;;
220201;1600;16;;;
220201;1700;13;;;
220201;1800;12;;;
220201;1900;14;;;
220201;2000;12;;;
220201;2100;9;;;
220201;2200;9;;;
220201;2300;7;;;
220202;0000;8;;;
220202;0100;10;;;
220202;0200;11;;;
220202;0300;7;;;
220202;0400;8;;;
220202;0500;9;;;
220202;0600;13;;;
220202;0700;12;;;
220202;0800;10;;;
220202;0900;9;;;
220202;1000;20;;;
220202;1100;11;;;
220202;1200;14;;;
220202;1300;12;;;
220202;1400;12;;;
220202;1500;14;;;
220202;1600;13;;;
220202;1700;10;;;
220202;1800;7;;;
220202;1900;13;;;
220202;2000;10;;;
220202;2100;11;;;
220202;2200;10;;;
220202;2300;11;;;
220203;0000;7;;;
220203;0100;11;;;
220203;0200;10;;;
220203;0300;9;;;
220203;0400;12;;;
220203;0500;11;;;
220203;0600;11;;;
220203;0700;9;;;
220203;0800;9;;;
220203;0900;8;;;
220203;1000;9;;;
220203;1100;13;;;
220203;1200;11;;;
220203;1300;12;;;
220203;1400;9;;;
220203;1500;7;;;
220203;1600;7;;;
220203;1700;7;;;
220203;1800;6;;;
220203;1900;8;;;
220203;2000;11;;;
220203;2100;11;;;
220203;2200;9;;;
220203;2300;7;;;
220204;0000;7;;;
220204;0100;9;;;
220204;0200;12;;;
220204;0300;8;;;
220204;0400;3;;;
220204;0500;6;;;
220204;0600;14;;;
